nl_query,intent
compare revenue between USA and France,comparison
show all customers,lookup
sum of total amount,aggregation
lowest 10 products by stock,top_n
orders per country,group_by
suppliers located in India,filter
how many order_items are there,aggregation
lowest 20 products by quantity,top_n
show the suppliers table,lookup
list all products,lookup
list Support department employees,filter
compare order counts between India and USA,comparison
top 20 products by quantity,top_n
number of payments,aggregation
lowest 20 products by total_amount,top_n
difference in revenue between India and UK,comparison
get customers from India,filter
how many employees are there,aggregation
orders count per country,group_by
revenue for each status,group_by
suppliers located in Germany,filter
best 5 products,top_n
get customers from Germany,filter
show the orders table,lookup
difference in revenue between USA and France,comparison
compare order value this year vs last year,comparison
top 5 products by quantity,top_n
display all payments,lookup
number of order_items per country,group_by
lowest 3 products by quantity,top_n
give me all employees records,lookup
lowest 15 products by price,top_n
orders by status,group_by
show orders where status is delivered,filter
total number of products,aggregation
orders with status delivered,filter
show categories,lookup
payment status of orders,group_by
products per payment method,group_by
highest 20 products by price,top_n
total total amount,aggregation
top 3 customers by spending,top_n
list pending orders,filter
count of order_items,aggregation
number of orders,aggregation
total order value,aggregation
lowest 15 products by stock,top_n
view all suppliers,lookup
what is the total quantity sold,aggregation
sum of quantity sold,aggregation
total revenue grouped by payment method,group_by
orders that are pending,filter
